,Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,Standard Value,Standard Units,pChEMBL Value,Target
0,CHEMBL390728,,CCC1CCNc2cc3[nH]c(=O)cc(C(F)(F)F)c3cc21,IC50,4580.0,nM,5.34,ar
1,CHEMBL3936931,,O=C(N[C@H]1CC[C@H](Oc2ccnc3c(Br)cccc23)CC1)c1ccc(F)c(Cl)c1,IC50,190.0,nM,6.72,ar
2,CHEMBL418684,,CC1=CC(C)(C)Nc2ccc3c(c21)COc1c(F)cc(F)cc1-3,IC50,644.0,nM,6.19,ar
3,CHEMBL235126,,O=c1cc(O)c2cc(N(CC(F)(F)F)CC(F)(F)F)ccc2[nH]1,IC50,7.0,nM,8.15,ar
4,CHEMBL266491,,COCCOc1ccccc1-c1ccc(C#N)c(C(F)(F)F)c1,IC50,2230.0,nM,5.65,ar
5,CHEMBL267431,ASOPRISNIL,COC[C@]1(OC)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(/C=N/O)cc3)C[C@@]21C,IC50,6.1,nM,8.21,ar
6,CHEMBL224654,,C[C@]12CCC(=O)C[C@@H]1CC(CCCCCCCC(=O)N1CCOCC1)[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,IC50,1300.0,nM,5.89,ar
7,CHEMBL389277,,CN(C)C(=O)CCCCCCCC1C[C@H]2CC(=O)CC[C@]2(C)[C@H]2CC[C@]3(C)[C@@H](O)CC[C@H]3[C@H]12,IC50,260.0,nM,6.58,ar
8,CHEMBL63560,(R)-BICALUTAMIDE,C[C@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,IC50,120.23,nM,6.92,ar
9,CHEMBL2159548,,O=[N+]([O-])c1ccc(C2=NOC3CCCCCCC23)c(C(F)(F)F)c1,IC50,776.25,nM,6.11,ar
10,CHEMBL102754,,CC1=CC(C)(C)Nc2ccc3c(c21)C(c1ccc(Cl)c(F)c1)Oc1ccccc1-3,IC50,2205.0,nM,5.66,ar
11,CHEMBL1094797,,CCCC1=C(C(=O)OCC)[C@H](c2ccnc3ccccc23)C(C#N)=C(C)N1,IC50,730.0,nM,6.14,ar
